# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 2007043.50000000 421.47912598
0.00100000 2006932.25000000 662.28765869
0.00200000 2006600.00000000 993.26702881
0.00300000 2006042.25000000 1444.35046387
0.00400000 2005269.75000000 1804.74279785
0.00500000 2004272.37500000 2164.61425781
0.00600000 2003052.00000000 2103.20458984
0.00700000 2001612.75000000 2401.93530273
0.00800000 1999947.87500000 3239.91577148
0.00900000 1998069.12500000 3896.23510742
0.01000000 1995965.12500000 3952.01123047
0.01100000 1993649.37500000 3947.42602539
0.01200000 1991109.50000000 5823.99511719
0.01300000 1988353.12500000 6263.31250000
0.01400000 1985380.50000000 5807.23828125
0.01500000 1982191.50000000 6660.16357422
0.01600000 1978790.00000000 5550.50634766
0.01700000 1975173.75000000 5866.26611328
0.01800000 1971343.75000000 6741.99609375
0.01900000 1967304.87500000 5901.91503906
0.02000000 1963053.62500000 11130.51464844
0.02100000 1958593.00000000 9048.70019531
0.02200000 1953922.25000000 6741.03222656
0.02300000 1949048.50000000 9121.54785156
0.02400000 1943967.37500000 9476.84082031
0.02500000 1938687.25000000 10585.23242188
0.02600000 1933201.75000000 10961.25390625
0.02700000 1927514.12500000 10524.22753906
0.02800000 1921634.37500000 9195.02050781
0.02900000 1915546.87500000 10343.95312500
0.03000000 1909268.12500000 9765.90722656
0.03100000 1902798.25000000 12786.80468750
0.03200000 1896135.37500000 10324.45800781
0.03300000 1889282.00000000 10598.87207031
0.03400000 1882238.62500000 9881.75292969
0.03500000 1875014.50000000 10125.07812500
0.03600000 1867604.75000000 11401.72753906
0.03700000 1860012.50000000 11662.27832031
0.03800000 1852247.00000000 13002.77441406
0.03900000 1844297.50000000 13278.94238281
0.04000000 1836173.87500000 18067.95312500
0.04100000 1827880.50000000 13818.77734375
0.04200000 1819412.87500000 11735.21386719
0.04300000 1810778.25000000 11951.13671875
0.04400000 1801977.00000000 14596.01464844
0.04500000 1793018.50000000 16083.37695312
0.04600000 1783892.75000000 18864.66796875
0.04700000 1774614.62500000 16610.39453125
0.04800000 1765175.37500000 15568.84667969
0.04900000 1755589.87500000 13166.92480469
0.05000000 1745851.75000000 20033.64843750
0.05100000 1735965.87500000 24372.96289062
0.05200000 1725938.75000000 13721.21289062
0.05300000 1715762.25000000 13897.67480469
0.05400000 1705452.75000000 15476.98437500
0.05500000 1695006.50000000 19933.27734375
0.05600000 1684427.00000000 15842.03613281
0.05700000 1673715.50000000 17473.59179688
0.05800000 1662879.87500000 22074.73046875
0.05900000 1651912.75000000 17840.65820312
0.06000000 1640830.75000000 18016.32226562
0.06100000 1629630.62500000 22733.34960938
0.06200000 1618309.12500000 24468.83593750
0.06300000 1606880.50000000 15426.05273438
0.06400000 1595339.62500000 15554.56250000
0.06500001 1583690.50000000 20382.09765625
0.06600000 1571943.00000000 17377.83007812
0.06700000 1560087.12500000 19095.46679688
0.06800000 1548137.50000000 20830.19140625
0.06900001 1536097.37500000 29032.24218750
0.07000000 1523967.50000000 17853.27929688
0.07100000 1511744.37500000 17959.52343750
0.07200000 1499437.75000000 16418.84375000
0.07300001 1487048.62500000 21458.11328125
0.07400000 1474585.62500000 26542.54101562
0.07500000 1462042.50000000 26667.65625000
0.07600001 1449428.25000000 21763.16601562
0.07700001 1436749.75000000 28576.95507812
0.07800000 1424001.62500000 18561.86132812
0.07900000 1411191.87500000 18627.73437500
0.08000001 1398324.00000000 18688.60156250
0.08100000 1385399.75000000 25560.62500000
0.08200000 1372418.25000000 20503.92968750
0.08300000 1359389.87500000 32543.79492188
0.08400001 1346316.25000000 20598.64062500
0.08500000 1333200.12500000 17198.28125000
0.08600000 1320041.25000000 24117.15429688
0.08700000 1306846.75000000 18975.41601562
0.08800001 1293615.87500000 17269.77343750
0.08900000 1280357.50000000 20741.79101562
0.09000000 1267069.12500000 25943.24218750
0.09100001 1253756.75000000 17301.84375000
0.09200001 1240422.12500000 20764.66796875
0.09300000 1227071.12500000 20762.04296875
0.09400000 1213699.00000000 20754.25390625
0.09500001 1200316.62500000 25926.83984375
0.09600000 1186930.25000000 24177.76953125
0.09700000 1173530.50000000 22426.16796875
0.09800000 1160136.00000000 17228.01953125
0.09900001 1146733.12500000 27521.59765625
0.10000000 1133339.25000000 18887.09960938
0.10100000 1119942.37500000 25702.67773438
0.10200001 1106558.50000000 30773.39257812
0.10300001 1093186.37500000 23875.19140625
0.10400000 1079822.37500000 18707.92382812
0.10500000 1066485.12500000 20348.53710938
0.10600001 1053160.25000000 27045.15625000
0.10700001 1039859.06250000 26953.14843750
0.10800000 1026582.12500000 20141.54101562
0.10900000 1013335.81250000 21736.05468750
0.11000001 1000118.56250000 21647.56835938
0.11100001 986930.56250000 16580.43554688
0.11200000 973782.25000000 19806.73242188
0.11300001 960669.00000000 18070.18554688
0.11400001 947598.93750000 21249.90820312
0.11500000 934573.00000000 17887.72851562
0.11600000 921590.31250000 19408.69335938
0.11700001 908656.75000000 17691.54687500
0.11800001 895772.37500000 17588.49218750
0.11900000 882941.00000000 17482.23242188
0.12000000 870162.37500000 18952.13671875
0.12100001 857443.87500000 17260.34570312
0.12200001 844785.75000000 21820.81835938
0.12300000 832188.31250000 24765.92578125
0.12400001 819652.81250000 19979.03906250
0.12500000 807183.06250000 19832.48828125
0.12600000 794783.50000000 21196.87695312
0.12700000 782454.37500000 16525.43750000
0.12800001 770195.18750000 17883.93359375
0.12900001 758012.68750000 14781.24804688
0.13000001 745904.25000000 19054.12500000
0.13100001 733870.56250000 15983.70214844
0.13200000 721919.06250000 18722.97070312
0.13300000 710051.68750000 18553.65039062
0.13400000 698261.31250000 14139.79199219
0.13500001 686561.06250000 21008.76953125
0.13600001 674942.06250000 20805.08984375
0.13700001 663414.75000000 16479.22265625
0.13800001 651973.87500000 13593.65625000
0.13900001 640625.68750000 25560.96679688
0.14000000 629369.87500000 15973.40722656
0.14100000 618207.06250000 15801.37304688
0.14200000 607139.50000000 20837.02734375
0.14300001 596169.43750000 15452.71289062
0.14400001 585294.68750000 14003.17578125
0.14500001 574522.43750000 13840.24609375
0.14600001 563847.18750000 19892.53125000
0.14700000 553277.12500000 13511.02734375
0.14800000 542804.50000000 19410.68945312
0.14900000 532438.93750000 15573.83886719
0.15000001 522174.25000000 14192.69628906
0.15100001 512016.09375000 15176.15820312
0.15200001 501967.37500000 13824.18261719
0.15300001 492021.84375000 17048.55859375
0.15400001 482185.75000000 17937.31250000
0.15500000 472458.81250000 12161.08984375
0.15600000 462839.28125000 13079.83789062
0.15700001 453332.25000000 15041.56445312
0.15800001 443932.93750000 10587.80078125
0.15900001 434649.03125000 11474.73535156
0.16000001 425473.28125000 12330.21679688
0.16100001 416412.68750000 13154.47753906
0.16200000 407463.50000000 12951.22753906
0.16300000 398628.50000000 10786.88769531
0.16400000 389906.59375000 9650.18847656
0.16500001 381298.62500000 13292.07031250
0.16600001 372805.09375000 9338.76855469
0.16700001 364426.15625000 19285.43359375
0.16800001 356160.68750000 13543.01074219
0.16900001 348013.25000000 11536.64062500
0.17000000 339979.65625000 10464.57421875
0.17100000 332059.62500000 11137.28027344
0.17200001 324256.28125000 10938.78613281
0.17300001 316568.25000000 12393.64746094
0.17400001 308995.71875000 8111.13818359
0.17500001 301537.87500000 10348.78027344
0.17600001 294194.84375000 10154.13574219
0.17700000 286968.00000000 9194.45507812
0.17800000 279854.34375000 8265.49804688
0.17900001 272855.31250000 10313.93066406
0.18000001 265971.96875000 7943.25292969
0.18100001 259203.76562500 10614.39453125
0.18200001 252545.93750000 6932.38623047
0.18300001 246003.95312500 8826.62207031
0.18400002 239575.26562500 11301.96386719
0.18500000 233259.73437500 10412.71484375
0.18600000 227054.67187500 7005.77197266
0.18700001 220961.81250000 8100.46044922
0.18800001 214979.82812500 6094.67822266
0.18900001 209111.62500000 6555.64990234
0.19000001 203349.75000000 6991.16503906
0.19100001 197700.57812500 8540.66601562
0.19200000 192157.67187500 8344.44726562
0.19300000 186725.15625000 5977.07226562
0.19400001 181400.06250000 5305.95214844
0.19500001 176182.18750000 5179.75634766
0.19600001 171069.78125000 6571.64599609
0.19700001 166063.56250000 5425.29687500
0.19800001 161162.28125000 4810.69433594
