### DATA:
#
#         Q               I              Error
#672
8.07900000E-03 6.45712096E-06 7.05741939E-05
8.65600000E-03 6.45712096E-06 7.05741939E-05
9.23300000E-03 6.45712096E-06 7.05741939E-05
9.81000000E-03 6.45712096E-06 7.05741939E-05
1.03880000E-02 6.45712096E-06 7.05741939E-05
1.09650000E-02 6.45712096E-06 7.05741939E-05
1.15420000E-02 6.45712096E-06 7.05741939E-05
1.21190000E-02 6.45712096E-06 7.05741939E-05
1.26960000E-02 6.45712096E-06 7.05741939E-05
1.32730000E-02 6.45712096E-06 7.05741939E-05
1.38500000E-02 6.45712096E-06 7.05741939E-05
1.44270000E-02 6.45712096E-06 7.05741939E-05
1.50040000E-02 6.45712096E-06 7.05741939E-05
1.55810000E-02 6.45712096E-06 7.05741939E-05
1.61580000E-02 6.45712096E-06 7.05741939E-05
1.67350000E-02 6.45712096E-06 7.05741939E-05
1.73130000E-02 6.45712096E-06 7.05741939E-05
1.78900000E-02 6.45712096E-06 7.05741939E-05
1.84670000E-02 6.45712096E-06 7.05741939E-05
1.90440000E-02 6.45712096E-06 7.05741939E-05
1.96210000E-02 6.45712096E-06 7.05741939E-05
2.01980000E-02 6.45712096E-06 7.05741939E-05
2.07750000E-02 6.45712096E-06 7.05741939E-05
2.13520000E-02 6.45712096E-06 7.05741939E-05
2.19290000E-02 6.45712096E-06 7.05741939E-05
2.25060000E-02 6.45712096E-06 7.05741939E-05
2.30830000E-02 6.45712096E-06 7.05741939E-05
2.36600000E-02 6.45712096E-06 7.05741939E-05
2.42380000E-02 6.45712096E-06 7.05741939E-05
2.48150000E-02 6.45712096E-06 7.05741939E-05
2.53920000E-02 6.45712096E-06 7.05741939E-05
2.59690000E-02 6.45712096E-06 7.05741939E-05
2.65460000E-02 6.45712096E-06 7.05741939E-05
2.71230000E-02 6.45712096E-06 7.05741939E-05
2.77000000E-02 6.45712096E-06 7.05741939E-05
2.82770000E-02 6.45712096E-06 7.05741939E-05
