### DATA:
#
#         Q               I              Error
#654
8.07900000E-03 6.70020685E-07 4.30903856E-05
8.65600000E-03 6.66022047E-07 3.59122145E-05
9.23300000E-03 4.98014485E-07 2.23026369E-05
9.81000000E-03 3.90028217E-07 1.84365137E-05
1.03880000E-02 3.13284406E-07 1.42772020E-05
1.09650000E-02 2.49269529E-07 1.17142078E-05
1.15420000E-02 2.06421221E-07 9.02011414E-06
1.21190000E-02 1.82895415E-07 8.53377795E-06
1.26960000E-02 1.56197099E-07 6.59072029E-06
1.32730000E-02 1.46583194E-07 6.54126520E-06
1.38500000E-02 1.33505954E-07 5.67327495E-06
1.44270000E-02 1.25141856E-07 5.59763862E-06
1.50040000E-02 1.18149096E-07 5.33568363E-06
1.55810000E-02 1.09336960E-07 4.39630411E-06
1.61580000E-02 1.05968248E-07 4.56546786E-06
1.67350000E-02 9.93489830E-08 4.11569014E-06
1.73130000E-02 9.85327760E-08 4.23199040E-06
1.78900000E-02 9.74636740E-08 3.96431169E-06
1.84670000E-02 9.02498900E-08 3.59758854E-06
1.90440000E-02 9.25125530E-08 3.85726312E-06
1.96210000E-02 8.82611850E-08 3.40184091E-06
2.01980000E-02 8.89692630E-08 3.50196223E-06
2.07750000E-02 8.52584100E-08 3.38004978E-06
2.13520000E-02 8.59582620E-08 3.27669685E-06
2.19290000E-02 8.44974250E-08 3.34563613E-06
2.25060000E-02 8.26510510E-08 2.94036122E-06
2.30830000E-02 8.05085520E-08 2.78553400E-06
2.36600000E-02 7.87866480E-08 2.68715791E-06
2.42380000E-02 7.90620410E-08 2.82413272E-06
2.48150000E-02 7.91727580E-08 2.72125795E-06
2.53920000E-02 7.94027410E-08 2.57934828E-06
2.59690000E-02 7.93848910E-08 2.69629161E-06
2.65460000E-02 7.87911060E-08 2.54159854E-06
2.71230000E-02 7.78638900E-08 2.39006372E-06
2.77000000E-02 7.67008050E-08 2.31094929E-06
2.82770000E-02 7.73439620E-08 2.32854321E-06
2.88540000E-02 7.67523770E-08 2.29401526E-06
2.94310000E-02 7.62163610E-08 2.19344742E-06
3.00080000E-02 7.55367990E-08 2.19396934E-06
3.05850000E-02 7.51964850E-08 2.17568904E-06
3.11630000E-02 7.69165530E-08 2.21087470E-06
3.17400000E-02 7.64080600E-08 2.20313239E-06
3.23170000E-02 7.56967320E-08 2.08979762E-06
3.28940000E-02 7.54241410E-08 2.05296930E-06
3.34710000E-02 7.69340370E-08 2.06324199E-06
3.40480000E-02 7.61738960E-08 2.06696206E-06
3.46250000E-02 7.55635990E-08 2.04794217E-06
3.52020000E-02 7.59941280E-08 1.98968503E-06
3.57790000E-02 7.66000280E-08 2.01462150E-06
3.63560000E-02 7.68297630E-08 1.96760627E-06
3.69330000E-02 7.64439710E-08 2.02024876E-06
3.75100000E-02 7.56998970E-08 1.93615152E-06
3.80880000E-02 7.59377340E-08 1.94058091E-06
3.86650000E-02 7.68696780E-08 1.99218805E-06
3.92420000E-02 7.66030810E-08 1.90868889E-06
3.98190000E-02 7.64833390E-08 1.93967072E-06
4.03960000E-02 7.66523510E-08 1.86828236E-06
4.09730000E-02 7.62736370E-08 1.90949516E-06
4.15500000E-02 7.62069930E-08 1.90779256E-06
4.21270000E-02 7.66242720E-08 1.89825958E-06
4.27040000E-02 7.74606820E-08 1.86916668E-06
4.32810000E-02 7.71490090E-08 1.85104221E-06
4.38580000E-02 7.65502480E-08 1.87494804E-06
4.44350000E-02 7.73940970E-08 1.82585544E-06
4.50130000E-02 7.69602840E-08 1.81091107E-06
4.55900000E-02 7.63502400E-08 1.86322529E-06
4.61670000E-02 7.67200580E-08 1.77520559E-06
4.67440000E-02 7.65412460E-08 1.81132344E-06
4.73210000E-02 7.60389170E-08 1.75024902E-06
4.78980000E-02 7.64930600E-08 1.75596016E-06
4.84750000E-02 7.63911860E-08 1.79839704E-06
4.90520000E-02 7.74761770E-08 1.74618737E-06
4.96290000E-02 7.69108570E-08 1.73753108E-06
5.02060000E-02 7.70830890E-08 1.73339470E-06
5.07830000E-02 7.63590250E-08 1.74007145E-06
5.13600000E-02 7.77693720E-08 1.73619921E-06
5.19380000E-02 7.80729360E-08 1.72273830E-06
5.25150000E-02 7.73040220E-08 1.69738842E-06
5.30920000E-02 7.66893910E-08 1.68814391E-06
5.36690000E-02 7.70724420E-08 1.71111092E-06
5.42460000E-02 7.74130720E-08 1.67694725E-06
5.48230000E-02 7.69577040E-08 1.68409851E-06
5.54000000E-02 7.85234770E-08 1.71119801E-06
5.59770000E-02 7.89924720E-08 1.67731878E-06
5.65540000E-02 7.96900730E-08 1.74347703E-06
5.71310000E-02 8.15618240E-08 1.77350321E-06
5.77080000E-02 8.16809240E-08 1.84593951E-06
5.82850000E-02 8.14955090E-08 1.84775058E-06
5.88630000E-02 8.21653270E-08 1.85213192E-06
5.94400000E-02 8.22508780E-08 1.89044706E-06
6.00170000E-02 8.27426790E-08 1.86744590E-06
6.05940000E-02 8.30774260E-08 1.93784112E-06
6.11710000E-02 8.27427900E-08 1.90021070E-06
6.17480000E-02 8.39797460E-08 1.95670216E-06
6.23250000E-02 8.39091380E-08 1.92255663E-06
6.29020000E-02 8.49628310E-08 1.91719941E-06
6.34790000E-02 8.53406190E-08 2.03872371E-06
6.40560000E-02 8.52162430E-08 1.92941884E-06
6.46330000E-02 8.51967280E-08 1.98544747E-06
6.52100000E-02 8.52044410E-08 1.98225344E-06
6.57880000E-02 8.48745700E-08 1.93914140E-06
6.63650000E-02 8.47159000E-08 2.01208661E-06
6.69420000E-02 8.49659530E-08 1.93429228E-06
6.75190000E-02 8.59070420E-08 2.00198872E-06
6.80960000E-02 8.53390850E-08 1.94483836E-06
6.86730000E-02 8.71314780E-08 1.96537975E-06
6.92500000E-02 8.72947180E-08 2.02120280E-06
6.98270000E-02 8.59252570E-08 1.96229709E-06
7.04040000E-02 8.67348630E-08 2.01032115E-06
7.09810000E-02 8.63460310E-08 1.99998333E-06
7.15580000E-02 8.63627260E-08 2.03599704E-06
7.21350000E-02 8.75185270E-08 2.06643800E-06
7.27130000E-02 8.71218640E-08 2.02837890E-06
7.32900000E-02 8.74211670E-08 2.07492293E-06
7.38670000E-02 8.70439560E-08 1.99685913E-06
7.44440000E-02 8.81575320E-08 2.05698270E-06
7.50210000E-02 8.73137010E-08 2.06330391E-06
7.55980000E-02 8.70957350E-08 2.04745503E-06
7.61750000E-02 8.64932790E-08 2.11641630E-06
7.67520000E-02 8.72551270E-08 2.00205507E-06
