### DATA:
#
#         Q               I              Error
#674
8.07900000E-03 2.49558188E-04 1.18719596E-03
8.65600000E-03 1.91729106E-04 8.74630710E-04
9.23300000E-03 1.59988904E-04 5.87883752E-04
9.81000000E-03 1.43180842E-04 5.05583897E-04
1.03880000E-02 1.25501318E-04 3.95927513E-04
1.09650000E-02 1.19345284E-04 3.58812584E-04
1.15420000E-02 1.07023690E-04 2.96697592E-04
1.21190000E-02 9.31753885E-05 2.60877808E-04
1.26960000E-02 8.58739659E-05 2.18764590E-04
1.32730000E-02 7.98733267E-05 2.14549785E-04
1.38500000E-02 7.45802041E-05 1.86087783E-04
1.44270000E-02 7.05410141E-05 1.86702632E-04
1.50040000E-02 6.61758663E-05 1.78945057E-04
1.55810000E-02 6.43193729E-05 1.50939287E-04
1.61580000E-02 6.13399856E-05 1.57523394E-04
1.67350000E-02 5.81416881E-05 1.41185175E-04
1.73130000E-02 5.67848130E-05 1.41765470E-04
1.78900000E-02 5.54807948E-05 1.33053353E-04
1.84670000E-02 5.44539026E-05 1.30124733E-04
1.90440000E-02 5.20513796E-05 1.33618282E-04
1.96210000E-02 5.14684726E-05 1.17363008E-04
2.01980000E-02 4.93767190E-05 1.20885067E-04
2.07750000E-02 4.83072374E-05 1.14987848E-04
2.13520000E-02 4.65259877E-05 1.10376077E-04
2.19290000E-02 4.68856934E-05 1.15197764E-04
2.25060000E-02 4.56131981E-05 9.81578915E-05
2.30830000E-02 4.57252351E-05 9.56446401E-05
2.36600000E-02 4.48677363E-05 9.41113991E-05
2.42380000E-02 4.41702317E-05 9.65030275E-05
2.48150000E-02 4.35319495E-05 9.32008357E-05
2.53920000E-02 4.27173774E-05 8.86508022E-05
2.59690000E-02 4.18451021E-05 9.03623575E-05
2.65460000E-02 4.26571690E-05 8.80085889E-05
2.71230000E-02 4.18226274E-05 8.17098183E-05
2.77000000E-02 4.12336265E-05 7.82342281E-05
2.82770000E-02 4.04892836E-05 7.85203008E-05
2.88540000E-02 3.99739329E-05 7.74025231E-05
2.94310000E-02 4.01905272E-05 7.29214135E-05
3.00080000E-02 4.02570037E-05 7.40863345E-05
3.05850000E-02 3.98374126E-05 7.26207699E-05
3.11630000E-02 3.94626946E-05 7.39593074E-05
3.17400000E-02 3.86514743E-05 7.32612049E-05
3.23170000E-02 3.94041424E-05 6.96269111E-05
3.28940000E-02 3.88297748E-05 6.76188062E-05
3.34710000E-02 3.86194325E-05 6.67584385E-05
3.40480000E-02 3.80632427E-05 6.84040525E-05
3.46250000E-02 3.79932108E-05 6.66216356E-05
3.52020000E-02 3.77776849E-05 6.62845226E-05
3.57790000E-02 3.81149616E-05 6.71777494E-05
3.63560000E-02 3.72972061E-05 6.55690892E-05
3.69330000E-02 3.73280369E-05 6.62146352E-05
3.75100000E-02 3.77622771E-05 6.44124849E-05
3.80880000E-02 3.72930697E-05 6.48108436E-05
3.86650000E-02 3.70352982E-05 6.60815110E-05
3.92420000E-02 3.72745188E-05 6.34397242E-05
3.98190000E-02 3.69644063E-05 6.27157009E-05
4.03960000E-02 3.67189776E-05 6.17344682E-05
4.09730000E-02 3.64900964E-05 6.27436706E-05
4.15500000E-02 3.64684361E-05 6.26075426E-05
4.21270000E-02 3.62919444E-05 6.14374801E-05
4.27040000E-02 3.68440381E-05 6.13496505E-05
4.32810000E-02 3.65051751E-05 6.00625717E-05
4.38580000E-02 3.63652872E-05 6.06211449E-05
4.44350000E-02 3.61256074E-05 5.88891407E-05
4.50130000E-02 3.64391628E-05 5.91698676E-05
4.55900000E-02 3.62678083E-05 6.00566685E-05
4.61670000E-02 3.60220368E-05 5.86935211E-05
4.67440000E-02 3.59880888E-05 5.97230686E-05
4.73210000E-02 3.61929919E-05 5.71392939E-05
4.78980000E-02 3.61290276E-05 5.73271659E-05
4.84750000E-02 3.56605891E-05 5.77537302E-05
4.90520000E-02 3.57820639E-05 5.60151721E-05
4.96290000E-02 3.61201429E-05 5.72560569E-05
5.02060000E-02 3.57130255E-05 5.53254035E-05
5.07830000E-02 3.60177426E-05 5.69166063E-05
5.13600000E-02 3.53107564E-05 5.56937824E-05
5.19380000E-02 3.54026964E-05 5.54652383E-05
5.25150000E-02 3.57313707E-05 5.52724646E-05
